Opportunity Number;Supplies Subgroup;Supplies Group;Sales Stage Change Count;Total Days Identified Through Closing;Total Days Identified Through Qualified;Opportunity Amount USD;Client Size By Revenue;Client Size By Employee Count;Revenue From Client Past Two Years;Competitor Type;Deal Size Category;Lat;Lon;Country_Code;Country;ID;Probabilidad
6819055.0;Exterior Accessories;Car Accessories;3;20;20;1000000;1;1;0;Unknown;7;-16.130262;-63.808594;1;Bolivia;1;0.2477835
7302117.0;Batteries & Accessories;Car Accessories;2;0;0;1000000;1;1;0;Unknown;7;-16.130262;-63.808594;1;Bolivia;1;0.3359533
7482320.0;Performance Parts;Performance & Non-auto;2;1;1;1000000;1;1;0;Known;7;-16.130262;-63.808594;1;Bolivia;1;0.3359533
8467159.0;Performance Parts;Performance & Non-auto;2;1;1;1000000;1;1;0;Unknown;7;-16.130262;-63.808594;1;Bolivia;1;0.3359533
8467480.0;Interior Accessories;Car Accessories;2;1;1;1000000;1;1;0;Unknown;7;-16.130262;-63.808594;1;Bolivia;1;0.3359533
8489313.0;Motorcycle Parts;Performance & Non-auto;2;5;5;1000000;1;1;0;Unknown;7;-16.130262;-63.808594;1;Bolivia;1;0.30845472
8495798.0;Garage & Car Care;Car Accessories;2;5;5;1000000;1;1;0;Unknown;7;-16.130262;-63.808594;1;Bolivia;1;0.30845472
;Motorcycle Parts;Performance & Non-auto;4;42;42;1000000;1;1;4;Unknown;7;-23.079732;-48.867188;2;Brasil;2;0.500393
6479188.0;Motorcycle Parts;Performance & Non-auto;4;42;42;1000000;1;1;4;Unknown;7;-23.079732;-48.867188;2;Brasil;2;0.500393
6909777.0;Performance Parts;Performance & Non-auto;3;23;23;1000000;4;5;0;Known;7;-11.005904;-47.109375;2;Brasil;2;0.2477835
6991657.0;Batteries & Accessories;Car Accessories;2;18;18;1000000;1;3;4;Known;7;-23.079732;-48.867188;2;Brasil;2;0.30894685
7309690.0;Exterior Accessories;Car Accessories;2;1;1;1000000;1;2;0;Known;7;-7.536764;-57.304687;2;Brasil;2;0.3359533
7482467.0;Motorcycle Parts;Performance & Non-auto;3;1;1;1000000;1;1;2;Known;7;-7.536764;-57.304687;2;Brasil;2;0.7688757
7560567.0;Shelters & RV;Performance & Non-auto;2;0;0;1000000;1;1;0;Unknown;7;-11.005904;-47.109375;2;Brasil;2;0.3359533
7901806.0;Replacement Parts;Car Accessories;2;3;3;1000000;1;1;0;Unknown;7;-11.005904;-47.109375;2;Brasil;2;0.330353
8449631.0;Performance Parts;Performance & Non-auto;2;4;4;1000000;1;1;0;Unknown;7;-7.536764;-57.304687;2;Brasil;2;0.31834504
9714975.0;Exterior Accessories;Car Accessories;1;0;0;1000000;1;1;0;Unknown;7;-23.079732;-48.867188;2;Brasil;2;0.6178174
6380350.0;Garage & Car Care;Car Accessories;3;34;34;1000000;1;1;0;Known;7;-24.367114;-68.730469;3;Chile;3;0.2340473
6714174.0;Interior Accessories;Car Accessories;3;33;33;1000000;5;5;0;Known;7;-24.367114;-68.730469;3;Chile;3;0.2340473
6835139.0;Tires & Wheels;Tires & Wheels;3;18;18;1000000;5;2;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.2477835
6985861.0;Exterior Accessories;Car Accessories;1;0;0;1000000;3;3;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.6178174
7050928.0;Towing & Hitches;Car Accessories;3;38;38;1000000;4;3;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.2340473
7963044.0;Exterior Accessories;Car Accessories;3;5;5;1000000;1;1;4;None;7;-24.367114;-68.730469;3;Chile;3;0.7679633
8063345.0;Car Electronics;Car Electronics;2;31;31;1000000;1;1;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.20576213
8082575.0;Exterior Accessories;Car Accessories;3;17;17;1000000;1;1;0;None;7;-24.367114;-68.730469;3;Chile;3;0.26366892
8082633.0;Exterior Accessories;Car Accessories;3;17;17;1000000;1;1;0;None;7;-24.367114;-68.730469;3;Chile;3;0.26366892
8384815.0;Interior Accessories;Car Accessories;2;6;6;1000000;1;1;0;None;7;-24.367114;-68.730469;3;Chile;3;0.30909747
8480148.0;Interior Accessories;Car Accessories;5;11;11;1000000;1;1;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.5926395
9453966.0;Interior Accessories;Car Accessories;4;4;4;1000000;1;1;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.63409656
9520517.0;Exterior Accessories;Car Accessories;3;11;11;1000000;1;1;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.3540517
9691157.0;Batteries & Accessories;Car Accessories;2;7;7;1000000;1;1;0;Unknown;7;-24.367114;-68.730469;3;Chile;3;0.30909747
9943476.0;Shelters & RV;Performance & Non-auto;2;1;1;1000000;1;1;0;None;7;-24.367114;-68.730469;3;Chile;3;0.3359533
5140326.0;Exterior Accessories;Car Accessories;3;117;117;1000000;1;4;1;Unknown;7;4.696879;-77.124023;4;Colombia;4;0.4550955
7261923.0;Shelters & RV;Performance & Non-auto;2;8;8;1000000;2;1;0;Unknown;7;4.696879;-77.124023;4;Colombia;4;0.30118772
7313253.0;Exterior Accessories;Car Accessories;2;9;9;1000000;1;4;0;Unknown;7;6.83917;-74.179688;4;Colombia;4;0.28909832
7489042.0;Motorcycle Parts;Performance & Non-auto;3;22;22;1000000;4;5;0;Unknown;7;4.390229;-74.003906;4;Colombia;4;0.2477835
7531353.0;Batteries & Accessories;Car Accessories;2;23;23;1000000;5;1;4;None;7;6.83917;-74.179688;4;Colombia;4;0.26068667
7768450.0;Performance Parts;Performance & Non-auto;4;44;44;1000000;1;1;0;None;7;4.696879;-77.124023;4;Colombia;4;0.29067418
9517084.0;Shelters & RV;Performance & Non-auto;2;15;15;1000000;1;1;0;Unknown;7;4.696879;-77.124023;4;Colombia;4;0.21236537
6810260.0;Batteries & Accessories;Car Accessories;2;2;2;1000000;1;1;3;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.5711347
6862984.0;Motorcycle Parts;Performance & Non-auto;2;1;1;1000000;4;3;0;Known;7;-1.230374;-78.75;5;Ecuador;5;0.3359533
6878770.0;Shelters & RV;Performance & Non-auto;2;7;7;1000000;5;2;0;Known;7;-1.230374;-78.75;5;Ecuador;5;0.30909747
6933016.0;Replacement Parts;Car Accessories;2;22;22;1000000;3;5;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.20576213
6958001.0;Batteries & Accessories;Car Accessories;2;10;10;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.2860889
7310048.0;Motorcycle Parts;Performance & Non-auto;4;15;15;1000000;1;4;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.425329
7792003.0;Shelters & RV;Performance & Non-auto;3;9;9;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.3601808
7918631.0;Shelters & RV;Performance & Non-auto;2;1;1;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.3359533
8033550.0;Shelters & RV;Performance & Non-auto;2;4;4;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.31834504
8250157.0;Exterior Accessories;Car Accessories;1;0;0;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.6178174
8299973.0;Motorcycle Parts;Performance & Non-auto;6;19;19;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.540788
8343285.0;Batteries & Accessories;Car Accessories;2;27;27;1000000;1;1;0;Known;7;-1.230374;-78.75;5;Ecuador;5;0.20576213
8452246.0;Interior Accessories;Car Accessories;2;12;12;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.26946673
8453796.0;Performance Parts;Performance & Non-auto;2;1;1;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.3359533
8475939.0;Batteries & Accessories;Car Accessories;2;11;11;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.2860889
8550136.0;Interior Accessories;Car Accessories;2;1;1;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.3359533
9409077.0;Towing & Hitches;Car Accessories;2;24;24;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.20576213
9757576.0;Shelters & RV;Performance & Non-auto;5;7;7;1000000;1;1;0;Unknown;7;-1.230374;-78.75;5;Ecuador;5;0.601602
6435781.0;Shelters & RV;Performance & Non-auto;4;20;20;1000000;2;5;0;Known;7;-11.523088;-73.125;6;Peru;6;0.3745935
6693335.0;Garage & Car Care;Car Accessories;2;13;13;1000000;4;5;0;Known;7;-5.965754;-79.453125;6;Peru;6;0.22531474
6871395.0;Towing & Hitches;Car Accessories;5;29;29;1000000;1;5;0;Known;7;-9.275622;-75.585938;6;Peru;6;0.39436933
6941015.0;Shelters & RV;Performance & Non-auto;2;24;24;1000000;4;5;0;Known;7;-11.523088;-73.125;6;Peru;6;0.20576213
7028857.0;Motorcycle Parts;Performance & Non-auto;2;9;9;1000000;2;3;4;Unknown;7;-11.523088;-73.125;6;Peru;6;0.4620574
7096303.0;Performance Parts;Performance & Non-auto;3;6;6;1000000;1;4;0;Unknown;7;-11.523088;-73.125;6;Peru;6;0.51820666
7102573.0;Motorcycle Parts;Performance & Non-auto;2;10;10;1000000;5;4;4;Unknown;7;-5.965754;-79.453125;6;Peru;6;0.45732328
7309975.0;Interior Accessories;Car Accessories;3;5;5;1000000;2;5;0;Unknown;7;-5.965754;-79.453125;6;Peru;6;0.5323234
7319423.0;Performance Parts;Performance & Non-auto;4;51;51;1000000;5;4;0;Unknown;7;-11.523088;-73.125;6;Peru;6;0.29067418
7347274.0;Performance Parts;Performance & Non-auto;4;52;52;1000000;5;4;0;Known;7;-9.275622;-75.585938;6;Peru;6;0.29067418
7394497.0;Exterior Accessories;Car Accessories;1;0;0;1000000;1;1;0;Unknown;7;-11.523088;-73.125;6;Peru;6;0.6178174
7510687.0;Batteries & Accessories;Car Accessories;3;9;9;1000000;3;3;0;Known;7;-5.965754;-79.453125;6;Peru;6;0.3601808
7627445.0;Motorcycle Parts;Performance & Non-auto;2;16;16;1000000;1;1;0;Unknown;7;-11.523088;-73.125;6;Peru;6;0.21236537
7773498.0;Exterior Accessories;Car Accessories;2;19;19;1000000;1;1;0;Unknown;7;-9.275622;-75.585938;6;Peru;6;0.20576213
7815197.0;Interior Accessories;Car Accessories;3;15;15;1000000;1;1;4;Known;7;-11.523088;-73.125;6;Peru;6;0.58359903
8030038.0;Exterior Accessories;Car Accessories;1;0;0;1000000;1;1;0;Unknown;7;-11.523088;-73.125;6;Peru;6;0.6178174
8284236.0;Exterior Accessories;Car Accessories;2;16;16;1000000;1;1;0;Unknown;7;-5.965754;-79.453125;6;Peru;6;0.21236537
8292080.0;Exterior Accessories;Car Accessories;2;20;20;1000000;1;1;0;Unknown;7;-5.965754;-79.453125;6;Peru;6;0.20576213
8449415.0;Exterior Accessories;Car Accessories;2;1;1;1000000;1;1;4;Unknown;7;-9.275622;-75.585938;6;Peru;6;0.5711347
9379628.0;Motorcycle Parts;Performance & Non-auto;3;17;17;1000000;1;1;0;Unknown;7;-5.965754;-79.453125;6;Peru;6;0.26366892
9389006.0;Replacement Parts;Car Accessories;3;11;11;1000000;1;1;4;Known;7;-5.965754;-79.453125;6;Peru;6;0.6478082
9425089.0;Batteries & Accessories;Car Accessories;2;20;20;1000000;1;1;0;Unknown;7;-9.275622;-75.585938;6;Peru;6;0.20576213
9496599.0;Performance Parts;Performance & Non-auto;2;3;3;1000000;1;1;0;Unknown;7;-5.965754;-79.453125;6;Peru;6;0.330353
9709536.0;Batteries & Accessories;Car Accessories;3;13;13;1000000;1;1;4;Unknown;7;-5.965754;-79.453125;6;Peru;6;0.58359903
8080875.0;Exterior Accessories;Car Accessories;2;23;23;1000;1;1;0;Unknown;7;7.318882;-65.170898;7;Venezuela;7;0.2495701
8157559.0;Replacement Parts;Car Accessories;3;14;14;100;1;1;3;None;7;7.318882;-65.170898;7;Venezuela;7;0.5873006
